rudimentary,"初始的，未发展的：earliest development；最根本的，基础的：first principles"
sedimentary,"adj.沉积的，沉淀性的[红宝书]"
botched,"修补( botch的过去式和过去分词 ), 搞坏，搞砸，笨拙地做 "
vituperative,"adj.充满辱骂的，责骂的 "
elegiac,"a.哀歌的，挽歌的  n.哀歌，挽歌[红宝书]"
eponymous,"齐名的, 使得名的 "
derivative,"[化] 衍生物，派生物, [语]派生词 导出的, 拷贝的 "
derivative,"非原创的：originality"
derivatives,"1.派生物[新经济人高频]"
derivation,"n.发展，起源；词源[红宝书]"
definitive,"a.明确的，有权威的[红宝书]"
deprivation,"匮乏：privation"
pervasive,"adj.弥漫的，遍布的[红宝书]"
trope,"n.修辞，比喻 "
grope,"v.摸索，探索[红宝书]"
gripe,"抱怨：dissatisfaction；（通过连续让人讨厌的举动）激怒，惹怒：disturb"
grove,"n.小树林，树丛[红宝书]"
diminutive,"adj.小的，小型的 adv.特小地，小型地 爱称，昵称, 指小词 "
